"Order ID","Order Date","Customer ID","Product ID",Sales,Quantity,Profit
CA-2016-152156,11/8/2016,CG-12520,FUR-BO-10001798,261.96,2,41.9136
CA-2016-152156,11/8/2016,CG-12520,FUR-CH-10000454,731.94,3,219.582
US-2015-108966,10/11/2015,SO-20335,FUR-TA-10000577,957.5775,5,-383.031
CA-2014-115812,6/9/2014,BH-11710,TEC-PH-10002275,907.152,6,90.7152
CA-2014-115812,6/9/2014,BH-11710,FUR-TA-10001539,1706.184,9,85.3092
CA-2014-115812,6/9/2014,BH-11710,TEC-PH-10002033,911.424,4,68.3568
CA-2016-161389,12/5/2016,IM-15070,OFF-BI-10003656,407.976,3,132.5922
CA-2014-105893,11/11/2014,PK-19075,OFF-ST-10004186,665.88,6,13.3176
CA-2015-106320,9/25/2015,EB-13870,FUR-TA-10000577,1044.63,3,240.2649
US-2015-150630,9/17/2015,TB-21520,FUR-BO-10004834,3083.43,7,-1665.0522
CA-2016-117590,12/8/2016,GH-14485,TEC-PH-10004977,1097.544,7,123.4737
CA-2015-117415,12/27/2015,SN-20710,FUR-BO-10002545,532.3992,3,-46.9764
CA-2015-117415,12/27/2015,SN-20710,TEC-PH-10000486,371.168,4,41.7564
CA-2016-105816,12/11/2016,JM-15265,TEC-PH-10002447,1029.95,5,298.6855
CA-2016-111682,6/17/2016,TB-21055,FUR-CH-10003968,319.41,5,7.098
CA-2014-106376,12/5/2014,BS-11590,OFF-AR-10002671,1113.024,8,111.3024
US-2015-134026,4/26/2015,JE-15745,FUR-CH-10000513,831.936,8,-114.3912
CA-2017-140088,5/28/2017,PO-18865,FUR-CH-10000863,301.96,2,33.2156
US-2015-156867,11/13/2015,LC-16870,TEC-AC-10001552,238.896,6,-26.8758
CA-2015-129476,10/15/2015,PA-19060,TEC-AC-10000844,339.96,5,67.992
CA-2015-110457,3/2/2015,DK-13090,FUR-TA-10001768,787.53,3,165.3813
US-2014-152030,12/26/2014,AD-10180,FUR-CH-10004063,600.558,3,-8.5794
US-2014-134614,9/20/2014,PF-19165,FUR-TA-10004534,617.7,6,-407.682
