"Order ID","Order Date","Customer ID","Product ID",Sales,Quantity,Profit
CA-2016-152156,11/8/2016,CG-12520,FUR-CH-10000454,731.94,3,219.582
US-2015-108966,10/11/2015,SO-20335,FUR-TA-10000577,957.5775,5,-383.031
CA-2014-115812,6/9/2014,BH-11710,FUR-TA-10001539,1706.184,9,85.3092
CA-2015-106320,9/25/2015,EB-13870,FUR-TA-10000577,1044.63,3,240.2649
US-2015-150630,9/17/2015,TB-21520,FUR-BO-10004834,3083.43,7,-1665.0522
CA-2016-117590,12/8/2016,GH-14485,TEC-PH-10004977,1097.544,7,123.4737
CA-2015-117415,12/27/2015,SN-20710,FUR-BO-10002545,532.3992,3,-46.9764
CA-2016-105816,12/11/2016,JM-15265,TEC-PH-10002447,1029.95,5,298.6855
CA-2016-111682,6/17/2016,TB-21055,FUR-CH-10003968,319.41,5,7.098
CA-2014-106376,12/5/2014,BS-11590,OFF-AR-10002671,1113.024,8,111.3024
CA-2015-129476,10/15/2015,PA-19060,TEC-AC-10000844,339.96,5,67.992
CA-2015-110744,9/7/2015,HA-14920,OFF-ST-10003656,671.93,7,20.1579
CA-2016-114489,12/5/2016,JE-16165,FUR-CH-10000454,1951.84,8,585.552
CA-2014-139892,9/8/2014,BM-11140,TEC-MA-10000822,8159.952,8,-1359.992
CA-2014-118962,8/5/2014,CS-12130,FUR-CH-10003817,340.144,7,21.259
CA-2014-166191,12/5/2014,DK-13150,TEC-AC-10004659,408.744,7,76.6395
CA-2015-102281,10/12/2015,MP-17470,FUR-BO-10002613,899.136,4,112.392
CA-2016-130162,10/28/2016,JH-15910,TEC-PH-10002563,302.376,3,22.6782
CA-2015-169397,12/24/2015,JB-15925,TEC-MA-10001148,479.988,4,-383.9904
CA-2015-163055,8/9/2015,DS-13180,FUR-TA-10003748,622.45,5,136.939
CA-2014-131926,6/1/2014,DW-13480,FUR-CH-10004063,2001.86,7,580.5394
CA-2016-145625,9/11/2016,KC-16540,TEC-AC-10003832,3347.37,13,636.0003
CA-2016-146941,12/10/2016,DL-13315,OFF-EN-10003296,361.92,4,162.864
US-2014-106992,9/19/2014,SB-20290,TEC-MA-10000822,3059.982,3,-509.997
CA-2016-125318,6/6/2016,RC-19825,TEC-PH-10001433,328.224,4,28.7196
US-2015-161991,9/26/2015,SC-20725,TEC-PH-10001760,1114.4,7,376.11
CA-2015-130890,11/2/2015,JO-15280,FUR-TA-10002903,1038.84,5,51.942
CA-2016-112697,12/18/2016,AH-10195,OFF-SU-10000646,961.48,5,-204.3145
CA-2014-111003,6/1/2014,CR-12625,OFF-AR-10002135,289.2,6,83.868
CA-2014-164973,11/4/2014,NM-18445,TEC-MA-10002927,3991.98,2,1995.99
CA-2015-137946,9/1/2015,DB-13615,TEC-CO-10001449,959.984,2,335.9944
CA-2014-129924,7/12/2014,AC-10420,FUR-TA-10004575,698.352,3,-17.4588
CA-2017-169901,6/15/2017,CC-12550,TEC-PH-10002293,47.976,3,4.7976
CA-2016-129714,9/1/2016,AB-10060,OFF-BI-10004995,4355.168,4,1415.4296
CA-2016-155516,10/21/2016,MK-17905,FUR-BO-10002545,1043.92,4,271.4192
US-2014-119137,7/23/2014,AG-10900,TEC-AC-10003911,1023.936,8,179.1888
US-2017-134481,8/27/2017,AR-10405,FUR-TA-10004915,1488.424,7,-297.6848
US-2015-168935,11/27/2015,DO-13435,FUR-TA-10000617,375.4575,3,-157.0095
US-2014-135972,9/21/2014,JG-15115,TEC-CO-10002313,1799.97,3,701.9883
CA-2016-108987,9/8/2016,AG-10675,FUR-BO-10004834,2396.2656,4,-317.1528
CA-2017-117457,12/8/2017,KH-16510,FUR-BO-10001972,1336.829,13,31.4548
CA-2016-147375,6/12/2016,PO-19180,TEC-MA-10002937,1007.979,3,43.1991
CA-2016-109869,4/22/2016,TN-21040,FUR-TA-10001889,1272.63,6,-814.4832
US-2015-101399,1/17/2015,JS-15940,FUR-FU-10002918,254.744,7,-312.0614
CA-2016-100790,6/26/2016,JG-15805,OFF-ST-10000689,704.25,5,84.51
CA-2014-127691,7/22/2014,EM-14065,TEC-AC-10002567,159.98,2,57.5928
CA-2017-140963,6/10/2017,MT-18070,FUR-BO-10001337,514.165,5,-30.245
CA-2014-154627,10/29/2014,SA-20830,TEC-PH-10001363,2735.952,6,341.994
CA-2014-113362,9/14/2014,AJ-10960,OFF-ST-10001809,449.15,5,8.983
US-2016-105578,5/30/2016,MY-17380,FUR-CH-10001215,801.568,2,50.098
CA-2015-145352,3/16/2015,CM-12385,OFF-BI-10003527,6354.95,5,3177.475
CA-2017-127432,1/22/2017,AD-10180,TEC-CO-10003236,2999.95,5,1379.977
CA-2017-113558,10/21/2017,PH-18790,FUR-CH-10003379,683.952,3,42.747
US-2017-129441,9/7/2017,JC-15340,FUR-FU-10000448,47.94,3,2.397
US-2015-120161,12/18/2015,LM-17065,OFF-ST-10001809,646.776,9,-145.5246
CA-2017-162929,11/19/2017,AS-10135,OFF-BI-10000404,41.28,6,13.932
CA-2017-100650,6/29/2017,DK-13225,OFF-ST-10001780,1295.78,2,310.9872
CA-2014-131450,8/8/2014,LR-16915,TEC-CO-10004115,1199.976,3,434.9913
CA-2014-149958,3/15/2014,AS-10240,OFF-ST-10001490,142.776,1,17.847
CA-2016-115917,5/20/2016,RB-19465,FUR-FU-10000576,1049.2,5,272.792
CA-2015-146563,8/24/2015,CB-12025,OFF-ST-10001490,999.432,7,124.929
CA-2016-123666,3/26/2016,SP-20545,OFF-ST-10001522,459.95,5,18.398
CA-2017-132682,6/8/2017,TH-21235,TEC-PH-10004042,381.576,3,28.6182
US-2017-168116,11/4/2017,GT-14635,TEC-MA-10004125,7999.98,4,-3839.9904
CA-2014-138527,9/12/2014,BN-11470,OFF-AP-10001469,166.84,5,18.7695
CA-2014-112158,12/2/2014,DP-13165,FUR-BO-10003272,883.92,5,-110.49
CA-2016-142335,12/15/2016,MP-17965,FUR-TA-10000198,1652.94,3,231.4116
US-2016-150861,12/3/2016,EG-13900,FUR-CH-10002965,542.646,3,102.4998
CA-2017-131954,1/21/2017,DS-13030,OFF-ST-10000736,242.94,3,9.7176
CA-2016-140928,9/18/2016,NB-18655,FUR-TA-10001095,383.438,4,-167.3184
CA-2015-114923,2/8/2015,LH-17020,TEC-PH-10003931,107.982,3,-26.9955
CA-2014-162775,1/13/2014,CS-12250,TEC-AC-10003174,646.74,6,258.696
CA-2016-157245,5/19/2016,LE-16810,FUR-CH-10003746,641.96,2,179.7488
CA-2016-105256,5/20/2016,JK-15730,TEC-PH-10001530,1363.96,5,85.2475
CA-2014-134313,11/1/2014,RA-19915,TEC-PH-10001795,1983.968,4,247.996
CA-2017-143686,5/14/2017,PJ-19015,TEC-AC-10001838,1399.93,7,601.9699
CA-2014-140858,6/28/2014,CA-12775,FUR-CH-10001394,1228.465,5,0
CA-2016-158099,9/3/2016,PK-18910,OFF-BI-10000545,1141.47,5,-760.98
CA-2014-148488,12/10/2014,SM-20005,OFF-BI-10000315,106.344,7,37.2204
CA-2017-111689,11/30/2017,HP-14815,FUR-CH-10004287,1242.9,5,262.39
CA-2017-137596,9/2/2017,BE-11335,TEC-AC-10004666,1928.78,7,829.3754
CA-2016-149797,9/15/2016,AH-10075,OFF-BI-10003650,841.568,2,294.5488
CA-2016-140081,6/20/2016,CG-12040,OFF-AP-10001058,447.696,2,33.5772
CA-2016-142958,12/13/2016,RW-19630,FUR-TA-10000577,1114.272,4,41.7852
US-2017-110576,11/28/2017,RB-19795,FUR-TA-10004154,2065.32,12,-619.596
