"Customer ID",Sales,sales_rank
SM-20320,22638.48,1
TC-20980,17499.95,2
RB-19360,13999.96,3
TA-21385,11199.968,4
HL-15040,10499.97,5
AB-10105,9892.74,6
SC-20095,9449.95,7
BS-11365,9099.93,8
SE-20110,8749.95,9
CC-12370,8399.976,10
KL-16645,8187.65,11
BM-11140,8159.952,12
GT-14635,7999.98,13
TB-21400,6999.96,14
CM-12385,6354.95,15
AR-10540,5443.96,16
DR-12940,5399.91,17
TS-21370,5199.96,18
JW-15220,5083.96,19
EH-13765,4912.59,20
KD-16270,4899.93,21
HM-14860,4899.93,21
NC-18535,4799.984,23
JA-15970,4663.736,24
KD-16495,4643.8,25
JM-15865,4548.81,26
DP-13390,4535.976,27
CS-12505,4499.985,28
MJ-17740,4476.8,29
TP-21415,4416.174,30
QJ-19255,4404.9,31
PO-18850,4367.896,32
AB-10060,4355.168,33
PK-19075,4305.552,34
JH-15985,4297.644,35
PF-19120,4228.704,36
GM-14695,4164.05,37
CP-12085,4164.05,37
KF-16285,4158.912,39
GT-14710,4007.84,40
CJ-12010,3999.95,41
NM-18445,3991.98,42
AA-10315,3930.072,43
SD-20485,3812.97,44
LW-17215,3785.292,45
NP-18700,3610.848,46
LA-16780,3504.9,47
KH-16690,3499.93,48
MS-17365,3406.664,49
SR-20740,3404.5,50
EB-13840,3393.68,51
PS-19045,3359.952,52
RH-19510,3357.6,53
KC-16540,3347.37,54
GH-14425,3266.376,55
FH-14365,3149.93,56
TB-21520,3083.43,57
KW-16435,3080,58
SB-20290,3059.982,59
BW-11110,3059.982,59
LC-16885,3050.376,61
MC-17425,3040,62
ME-17320,3023.928,63
AD-10180,2999.95,64
JE-15610,2999.95,64
SB-20185,2973.32,66
BD-11500,2939.93,67
YC-21895,2934.33,68
SV-20365,2888.127,69
SC-20230,2887.056,70
RM-19675,2879.952,71
RP-19390,2807.84,72
CJ-12010,2803.92,73
SC-20305,2803.92,73
IM-15055,2799.96,75
TS-21370,2799.96,75
CC-12370,2799.96,75
DM-13015,2799.96,75
NW-18400,2799.944,79
YS-21880,2793.528,80
SA-20830,2735.952,81
MW-18235,2715.93,82
DM-13345,2690.97,83
AS-10285,2678.94,84
LC-16960,2676.672,85
SF-20200,2665.62,86
AT-10735,2625.12,87
JL-15835,2624.985,88
ED-13885,2621.322,89
KF-16285,2591.56,90
GK-14620,2575.944,91
ME-17320,2573.82,92
BD-11320,2567.84,93
JE-15715,2563.056,94
SR-20425,2549.985,95
CL-12565,2548.56,96
PW-19240,2541.98,97
SB-20290,2519.958,98
RW-19540,2518.29,99
JD-16150,2504.74,100
JK-16090,2479.96,101
JE-15745,2453.43,102
MT-17815,2430.08,103
HW-14935,2405.2,104
TT-21070,2404.704,105
HR-14830,2399.96,106
HK-14890,2399.96,106
TA-21385,2399.6,108
LC-16930,2396.4,109
AG-10675,2396.2656,110
JK-15640,2395.2,111
ES-14020,2357.488,112
PP-18955,2348.82,113
Dp-13240,2321.9,114
Dp-13240,2314.116,115
RH-19495,2309.65,116
CM-12655,2279.96,117
AH-10690,2275.5,118
SV-20365,2254.41,119
TB-21175,2249.91,120
PM-19135,2249.91,120
PS-19045,2244.48,122
TS-21205,2239.936,123
LF-17185,2177.584,124
NP-18670,2154.9,125
GT-14710,2152.776,126
JD-15895,2104.55,127
DB-13270,2079.4,128
RB-19795,2065.32,129
JH-15985,2060.744,130
KF-16285,2054.272,131
AB-10060,2036.86,132
MZ-17515,2033.584,133
NF-18385,2025.36,134
CM-12385,2022.272,135
PF-19120,2003.92,136
TW-21025,2003.92,136
CM-12160,2003.52,138
LP-17095,2003.168,139
DW-13480,2001.86,140
HG-15025,1999.96,141
CA-11965,1999.96,141
RA-19915,1983.968,143
KL-16645,1979.928,144
DG-13300,1979.89,145
AH-10690,1979.7,146
JE-16165,1951.84,147
SP-20620,1931.958,148
ND-18370,1931.04,149
BE-11335,1928.78,150
FC-14245,1927.59,151
HW-14935,1925.88,152
RW-19690,1924.16,153
CC-12145,1919.976,154
MW-18235,1919.976,154
TW-21025,1913.4,156
HG-14965,1889.99,157
JL-15835,1889.946,158
TT-21460,1879.96,159
JM-15865,1879.96,159
VP-21760,1875.258,161
JK-15205,1871.88,162
SC-20050,1856.19,163
IM-15070,1819.86,164
CL-12565,1805.88,165
DL-13495,1801.632,166
SM-20950,1801.632,166
JD-15790,1801.632,166
NF-18385,1799.994,169
JG-15115,1799.97,170
KT-16480,1799.97,170
MS-17365,1799.75,172
AC-10450,1793.98,173
GK-14620,1793.98,173
SC-20095,1793.98,173
SC-20380,1781.682,176
BB-11545,1779.9,177
JE-15715,1747.25,178
BM-11140,1740.06,179
AJ-10780,1737.18,180
TT-21460,1718.4,181
BH-11710,1706.184,182
CM-12655,1704.89,183
DJ-13630,1704.56,184
JK-15205,1702.12,185
GB-14575,1690.04,186
JK-15640,1687.8,187
KM-16375,1687.8,187
LW-16990,1685.88,189
SP-20860,1684.752,190
AI-10855,1679.96,191
RD-19480,1676.88,192
CR-12580,1673.184,193
MC-17845,1669.6,194
AC-10450,1665.62,195
MP-17965,1652.94,196
MM-17920,1652.94,196
NM-18520,1649.95,198
GZ-14545,1649.95,198
BE-11410,1649.75,200
RM-19675,1640.7,201
FC-14335,1640.7,201
TH-21550,1633.188,203
BM-11650,1633.14,204
SC-20380,1628.82,205
TC-21295,1628.82,205
AR-10825,1626.192,207
SG-20605,1619.91,208
JS-15880,1618.37,209
DC-12850,1614.582,210
RH-19510,1606.23,211
AM-10705,1604.9,212
